Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Inputs/Variable Cost-Soil Amendments,AOM_001086,Outcomes,Productivity,Economics,Variable Cost,Inputs,Variable Cost-Soil Amendments,,,,,Variable Cost-Soil Amendments,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Erosion Control Structures,AOM_001079,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Erosion Control Structures,,,,,Variable Cost-Erosion Control Structures,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Harvesting,AOM_000461,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Harvesting,,,,,Variable Cost-Harvesting,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Planting,AOM_000463,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Planting,,,,,Variable Cost-Planting,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Preparing Beds,AOM_001082,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Preparing Beds,,,,,Variable Cost-Preparing Beds,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Pruning,AOM_001083,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Pruning,,,,,Variable Cost-Pruning,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Spraying,AOM_001080,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Spraying,,,,,Variable Cost-Spraying,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Spreading,AOM_001081,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Spreading,,,,,Variable Cost-Spreading,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Threshing,AOM_000462,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Threshing,,,,,Variable Cost-Threshing,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Tillage,AOM_000459,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Tillage,,,,,Variable Cost-Tillage,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Transplanting,AOM_001077,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Transplanting,,,,,Variable Cost-Transplanting,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Water Harvesting Structures,AOM_001078,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Water Harvesting Structures,,,,,Variable Cost-Water Harvesting Structures,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Economics/Variable Cost/Management Activities/Variable Cost-Weeding,AOM_000460,Outcomes,Productivity,Economics,Variable Cost,Management Activities,Variable Cost-Weeding,,,,,Variable Cost-Weeding,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Labour/Labour-Time,AOM_000393,Outcomes,Productivity,Labour,Labour-Time,,,,,,,Labour-Time,,"Labour time per task, season, or unit land (gender is not specified).",,,,,,,,,,Higher Level,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Labour/Labour-Time/Labour Time-Female,AOM_000395,Outcomes,Productivity,Labour,Labour-Time,Labour Time-Female,,,,,,Labour Time-Female,,,,,,,,,,,,242,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Labour/Labour-Time/Labour Time-Male,AOM_000394,Outcomes,Productivity,Labour,Labour-Time,Labour Time-Male,,,,,,Labour Time-Male,,,,,,,,,,,,243,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Labour/Return to Labour,AOM_000396,Outcomes,Productivity,Labour,Return to Labour,,,,,,,Return to Labour,,"Return to Labour or Labour Productivity. This may be expressed as income/day labour, income/area or production/day labour.","Make sure units are carefully recorded and this is not the cost of labour, which should be recorded under Economics: Cost of Labour outcome.",,,,,,,,,133,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield,AOM_000361,Outcomes,Productivity,Yield,,,,,,,,Yield,,,,,,,,,,,,Higher Level,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield,AOM_000362,Outcomes,Productivity,Yield,Product Yield,,,,,,,Product Yield,,,,,,,,,,,,Higher Level,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals,AOM_000366,Outcomes,Productivity,Yield,Product Yield,Animals,,,,,,Animals,,,,,,,,,,,,Higher Level,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Daily Average Weight Gain,AOM_003095,Outcomes,Productivity,Yield,Product Yield,Animals,Daily Average Weight Gain,,,,,Daily Average Weight Gain,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Egg Yield,AOM_000383,Outcomes,Productivity,Yield,Product Yield,Animals,Egg Yield,,,,,Egg Yield,,"Egg yields, such as number of eggs per hen(s) per day(s).",Please try and standardise units to eggs per one individual per day. (eggs/individual/day).,,,,,,,,,119.3,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield,AOM_000369,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,,,,,Meat Yield,,The total weight of the animal or meat parts of it. ,"For meat yield of offspring (e.g. offtake of lambs in a ewe-lamb pastture system, use the reproductive yield/offspring meat yield outcome)",,,,,,,,,119.1,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield- Carcass,AOM_000370,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield- Carcass,,,,Meat Yield- Carcass,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield- Carcass Defeathered,AOM_000371,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield- Carcass Defeathered,,,,Meat Yield- Carcass Defeathered,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Cold Carcass,AOM_000372,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Cold Carcass,,,,Meat Yield-Cold Carcass,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Dressed,AOM_000373,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Dressed,,,,Meat Yield-Dressed,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Empty Carcass Meat Yield,AOM_000374,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Empty Carcass Meat Yield,,,,Meat Yield-Empty Carcass Meat Yield,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Eviscerated,AOM_000375,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Eviscerated,,,,Meat Yield-Eviscerated,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Final Body Weight,AOM_000376,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Final Body Weight,,,,Meat Yield-Final Body Weight,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Hot Carcass,AOM_000377,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Hot Carcass,,,,Meat Yield-Hot Carcass,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Non-carcass,AOM_000378,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Non-carcass,,,,Meat Yield-Non-carcass,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Meat Yield/Meat Yield-Slaughter Body ,AOM_000379,Outcomes,Productivity,Yield,Product Yield,Animals,Meat Yield,Meat Yield-Slaughter Body ,,,,Meat Yield-Slaughter Body ,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Milk Days,AOM_001070,Outcomes,Productivity,Yield,Product Yield,Animals,Milk Days,,,,,Milk Days, lactation period,Milk days refer to the length of the period during which a female animal produces milk after giving birth. ,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Milk Fat/Milk Fat Content,AOM_000382,Outcomes,Productivity,Yield,Product Yield,Animals,Milk Fat,Milk Fat Content,,,,Milk Fat Content,,The percentage or proportion of  milk that is fat.,,%,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Milk Fat/Milk Fat Yield,AOM_000381,Outcomes,Productivity,Yield,Product Yield,Animals,Milk Fat,Milk Fat Yield,,,,Milk Fat Yield,,Amount of fat produced. Provide the actual quantity of fat produced instead of expressing it as a percentage or proportion of the milk.,,kg/individual/day,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Milk Yield,AOM_000380,Outcomes,Productivity,Yield,Product Yield,Animals,Milk Yield,,,,,Milk Yield,,"Amount of milk produced. Please provide the amount of milk produced, rather than expressing the change in milk yield relative to a reference value.",Please try and standardise to litres per animal per day (l/individual/day).,l/individual/day,,,,,,,,119.2,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Other Animal Product Yield,AOM_000385,Outcomes,Productivity,Yield,Product Yield,Animals,Other Animal Product Yield,,,,,Other Animal Product Yield,,"Animal products that are not meat, egg, milk or offsping, for example wool, hides and honey.",,,,,,,,,,119.4,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield,AOM_000386,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,,,,,Reproductive Yield,,Livestock reproductive yield is a metric used to evaluate the efficiency of reproduction in livestock. It measures the percentage of successful pregnancies or offspring produced per female animal. A higher reproductive yield indicates better reproductive performance and more efficient breeding practices (human validated chatGPT).,,,,,,,,,,199.5,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield/Offspring Body Weight,AOM_000388,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,Offspring Body Weight,,,,Offspring Body Weight,,The body weight of offspring.,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield/Offspring Body Weight/Offspring Body Weight-Birth Weight,AOM_000389,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,Offspring Body Weight,Offspring Body Weight-Birth Weight,,,Offspring Body Weight-Birth Weight,,Birth weight refers to the body weight of an offspring at the time of delivery.,,,http://purl.obolibrary.org/obo/OPMI_0000161,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield/Offspring Body Weight/Offspring Body Weight-Weaning Weight,AOM_000390,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,Offspring Body Weight,Offspring Body Weight-Weaning Weight,,,Offspring Body Weight-Weaning Weight,,Weaning weight refers to the body weight of an offspring at the time of weaning.,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield/Reproductive Rate,AOM_000387,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,Reproductive Rate,,,,Reproductive Rate,,Reproductive rate in livestock refers to the rate at which female animals are able to conceive and produce offspring within a given time period. It is calculated as the number of successful pregnancies or offspring produced per female animal.,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield/Specific Growth Rate of Nursing Offspring,AOM_000391,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,Specific Growth Rate of Nursing Offspring,,,,Specific Growth Rate of Nursing Offspring,,The rate of weight gain per day for young animals that are still nursing from their mothers. It is used as a metric to evaluate the growth and development of these animals during the suckling period. ,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Reproductive Yield/Weaning Liveweight,AOM_000392,Outcomes,Productivity,Yield,Product Yield,Animals,Reproductive Yield,Weaning Liveweight,,,,Weaning Liveweight,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Specific Growth Rate,AOM_000368,Outcomes,Productivity,Yield,Product Yield,Animals,Specific Growth Rate,,,,,Specific Growth Rate,,"Specific Growth Rate (SGR) is typically measured as the change in body weight of an animal over a specified time period, divided by the number of days in that period. For example, if an animal weighed 100 kg at the beginning of a 30-day period and weighed 120 kg at the end of that period, the SGR would be calculated as follows: SGR = (120 kg - 100 kg) ÷ 30 days = 0.67 kg/day.  This indicates that the animal gained an average of 0.67 kg per day during the 30-day period.  (human validated chatGPT)",Please try to standardise to g per animal per day (g/individual/day). Default unit is unit/individual (e.g kg/cow) unless otherwise stated. Values for this outcome can be negative (the animal loses weight) or positive.,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Total Weight Gain,AOM_000367,Outcomes,Productivity,Yield,Product Yield,Animals,Total Weight Gain,,,,,Total Weight Gain,,Total change in animal weight for the entire experimental period.,,,,,,,,,,118,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Animals/Wool Yield,AOM_000384,Outcomes,Productivity,Yield,Product Yield,Animals,Wool Yield,,,,,Wool Yield,,,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Land Equivalent Ratio,AOM_000365,Outcomes,Productivity,Yield,Product Yield,Land Equivalent Ratio,,,,,,Land Equivalent Ratio,,The land equivalent ratio describes the relative land area required under sole cropping (monoculture) to produce the same yield as under intercropping (polyculture). ,"We do not accept LER for practice A vs practice B (e.g. mulch vs no-mulch as this yield A/yield B, which we calculated as the response ratio).",,,,,,,,,103,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Pasture,AOM_000363,Outcomes,Productivity,Yield,Product Yield,Pasture,,,,,,Pasture,,,,,,,,,,,,Higher Level,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Product Yield/Pasture/Biomass Yield,AOM_000364,Outcomes,Productivity,Yield,Product Yield,Pasture,Biomass Yield,,,,,Biomass Yield,,Pasture biomass produced per unit area land. ,,,,,,,,,,New,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Productivity/Yield/Yield Stability/Yield Stability,AOM_000496,Outcomes,Productivity,Yield,Yield Stability,Yield Stability,,,,,,Yield Stability,,The variability in yields between seasons or between years.,"Antilog any logged outcomes, ln(yield stablity) is often reported.",,,,,,,,,270,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Social/Gender Equity/Income Female,AOM_000517,Outcomes,Social,Gender Equity,Income Female,,,,,,,Income Female,,Female income from practice(s).,,,,,,,,,,242,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcomes/Social/Gender Equity/Income Male,AOM_000518,Outcomes,Social,Gender Equity,Income Male,,,,,,,Income Male,,Male income from practice(s).,,,,,,,,,,243,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,AOM_000001,Species,,,,,,,,,,Species,,A species is a group of organisms that can interbreed and produce fertile offspring.,,,http://purl.obolibrary.org/obo/NCBITaxon_species,http://aims.fao.org/aos/agrovoc/c_7280,,,http://purl.obolibrary.org/obo/NCBITaxon_228354 ,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
